Designator,X,Y,Rotation,Value,Footprint
C1,44.5,43,270,1u,C0805
C2,47,43,270,1u,C0805
C3,53.5,18.5,180,1u,C0805
C4,25.5,24,0,1u,C0805
C5,15.5,16.5,0,1u,C0805
C6,77,20,270,1u,C0805
C7,40,64.5,45,20p,C0805
C8,43.65,61.15,45,20p,C0805
C9,42.5,85,0,1u,C0805
C10,56.5,81,135,10u,C0805
C11,58,82.5,135,100n,C0805
C12,42.5,73.4,315,1u,C0805
C13,40.5,77.5,315,10u,C0805
FIDUCIAL1,85,95,0,FIDUCIAL,N/A
FIDUCIAL2,5,30,0,FIDUCIAL,N/A
LED1,48,19,0,0805_RGB,RGB
R1,49,23.5,270,150,R0805
R2,46,23.5,270,150,R0805
R3,52,23.5,270,150,R0805
R4,25.5,21,0,10k,R0805
R5,74,20,90,2k2,R0805
R6,71,20,90,2k2,R0805
R7,15.5,13.5,180,10k,R0805
R8,15.5,19.5,0,10k,R0805
R9,42.5,87,180,10k,R0805
R10,42.5,83,0,10k,R0805
R11,60.5,86.5,270,10,R0805
R12,58.5,86.5,270,10,R0805
R13,42.5,89,0,10k,R0805
U3,50.02,33,270,PIC16F1829,SOP20
U6,50,76.5,45,ATMEGA328-AU,QFP32
XTAL1,45.35,66.65,135,8MHz,HC49S
